training on cuda
loss 0.4169, contact ratio 0.058, train acc 0.914, train prec 0.394, train recall 0.872, time 3.8 sec
loss 0.4171, contact ratio 0.058, train acc 0.914, train prec 0.394, train recall 0.872, time 3.8 sec
loss 0.4170, contact ratio 0.058, train acc 0.914, train prec 0.394, train recall 0.872, time 3.7 sec
loss 0.4170, contact ratio 0.058, train acc 0.914, train prec 0.394, train recall 0.872, time 3.7 sec
loss 0.4170, contact ratio 0.058, train acc 0.914, train prec 0.394, train recall 0.872, time 3.6 sec
loss 0.4172, contact ratio 0.058, train acc 0.915, train prec 0.394, train recall 0.871, time 3.6 sec
loss 0.4170, contact ratio 0.058, train acc 0.915, train prec 0.394, train recall 0.871, time 3.8 sec
loss 0.4169, contact ratio 0.058, train acc 0.915, train prec 0.394, train recall 0.872, time 3.8 sec
loss 0.4168, contact ratio 0.058, train acc 0.915, train prec 0.394, train recall 0.872, time 3.8 sec
loss 0.4170, contact ratio 0.058, train acc 0.915, train prec 0.394, train recall 0.872, time 3.7 sec
loss 0.4167, contact ratio 0.058, train acc 0.915, train prec 0.395, train recall 0.872, time 3.7 sec
loss 0.4168, contact ratio 0.058, train acc 0.915, train prec 0.395, train recall 0.872, time 3.8 sec
loss 0.4167, contact ratio 0.058, train acc 0.915, train prec 0.395, train recall 0.872, time 3.8 sec
loss 0.4167, contact ratio 0.058, train acc 0.915, train prec 0.395, train recall 0.872, time 3.8 sec
loss 0.4166, contact ratio 0.058, train acc 0.915, train prec 0.395, train recall 0.872, time 3.8 sec
loss 0.4165, contact ratio 0.058, train acc 0.915, train prec 0.395, train recall 0.873, time 3.8 sec
loss 0.4166, contact ratio 0.058, train acc 0.914, train prec 0.395, train recall 0.873, time 3.8 sec
loss 0.4168, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.872, time 3.8 sec
loss 0.4170, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.872, time 3.8 sec
loss 0.4169, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.872, time 3.8 sec
loss 0.4170, contact ratio 0.058, train acc 0.914, train prec 0.394, train recall 0.872, time 3.7 sec
loss 0.4170, contact ratio 0.058, train acc 0.914, train prec 0.394, train recall 0.872, time 3.8 sec
loss 0.4169, contact ratio 0.058, train acc 0.914, train prec 0.394, train recall 0.872, time 3.7 sec
loss 0.4168, contact ratio 0.058, train acc 0.914, train prec 0.394, train recall 0.872, time 3.7 sec
loss 0.4167, contact ratio 0.058, train acc 0.914, train prec 0.395, train recall 0.872, time 3.7 sec
loss 0.4168, contact ratio 0.058, train acc 0.914, train prec 0.395, train recall 0.872, time 3.8 sec
loss 0.4168, contact ratio 0.058, train acc 0.914, train prec 0.395, train recall 0.873, time 3.7 sec
loss 0.4169, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.873, time 3.7 sec
loss 0.4168, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.873, time 3.8 sec
loss 0.4169, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.873, time 3.6 sec
loss 0.4169, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.873, time 3.8 sec
loss 0.4171, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.872, time 3.8 sec
loss 0.4170, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.872, time 3.8 sec
loss 0.4170, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.872, time 3.6 sec
loss 0.4169, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.873, time 3.7 sec
loss 0.4169, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.873, time 3.8 sec
loss 0.4169, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.873, time 3.7 sec
loss 0.4169, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.873, time 3.8 sec
loss 0.4170, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.873, time 3.8 sec
loss 0.4170, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.873, time 3.8 sec
loss 0.4171, contact ratio 0.059, train acc 0.914, train prec 0.393, train recall 0.873, time 3.7 sec
loss 0.4171, contact ratio 0.059, train acc 0.914, train prec 0.393, train recall 0.873, time 3.8 sec
loss 0.4170, contact ratio 0.059, train acc 0.913, train prec 0.393, train recall 0.873, time 3.8 sec
loss 0.4169, contact ratio 0.059, train acc 0.913, train prec 0.394, train recall 0.873, time 3.7 sec
loss 0.4170, contact ratio 0.059, train acc 0.913, train prec 0.394, train recall 0.873, time 3.7 sec
loss 0.4169, contact ratio 0.059, train acc 0.913, train prec 0.394, train recall 0.873, time 3.8 sec
loss 0.4169, contact ratio 0.059, train acc 0.913, train prec 0.394, train recall 0.873, time 3.8 sec
loss 0.4169, contact ratio 0.059, train acc 0.913, train prec 0.394, train recall 0.873, time 3.6 sec
loss 0.4168, contact ratio 0.059, train acc 0.913, train prec 0.394, train recall 0.873, time 3.8 sec
loss 0.4167, contact ratio 0.059, train acc 0.913, train prec 0.394, train recall 0.874, time 3.8 sec
loss 0.4167, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.873, time 3.6 sec
loss 0.4168, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.873, time 3.7 sec
loss 0.4166, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.873, time 3.7 sec
loss 0.4164, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4164, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.7 sec
loss 0.4164, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.7 sec
loss 0.4164, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4164, contact ratio 0.059, train acc 0.913, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4165, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.874, time 3.8 sec
loss 0.4165, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.874, time 3.7 sec
loss 0.4165, contact ratio 0.059, train acc 0.913, train prec 0.394, train recall 0.874, time 3.7 sec
loss 0.4165, contact ratio 0.059, train acc 0.913, train prec 0.394, train recall 0.874, time 3.6 sec
loss 0.4166, contact ratio 0.059, train acc 0.913, train prec 0.394, train recall 0.874, time 3.6 sec
loss 0.4167, contact ratio 0.059, train acc 0.913, train prec 0.394, train recall 0.874, time 3.8 sec
loss 0.4166, contact ratio 0.059, train acc 0.913, train prec 0.394, train recall 0.874, time 3.7 sec
loss 0.4166, contact ratio 0.059, train acc 0.913, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4165, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.7 sec
loss 0.4166, contact ratio 0.059, train acc 0.913, train prec 0.394, train recall 0.874, time 3.8 sec
loss 0.4166, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.874, time 3.6 sec
loss 0.4166, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.874, time 3.7 sec
loss 0.4166, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.874, time 4.0 sec
loss 0.4166, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.873, time 3.8 sec
loss 0.4167, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.873, time 3.8 sec
loss 0.4166, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.874, time 3.7 sec
loss 0.4166, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.874, time 3.8 sec
loss 0.4166, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.874, time 3.6 sec
loss 0.4165, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.874, time 3.7 sec
loss 0.4166, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.874, time 3.8 sec
loss 0.4166, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.874, time 3.8 sec
loss 0.4165, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4165, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4165, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.6 sec
loss 0.4165, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.874, time 3.8 sec
loss 0.4165, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.874, time 3.8 sec
loss 0.4164, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.874, time 3.6 sec
loss 0.4165, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.6 sec
